Local,Latitude,Longitude
Lisboa,38.716667,-9.133333
Monte Pascoal - BA,-16.895833,-39.408056
Cananor,11.8675,75.3575
Ilhas Canárias,28,-15.5
Santiago - Cabo Verde,15.087222,-23.625556
Baía de Santa Helena,-32.7583,18.0278
Cabo da Boa esperança,-34.350278,18.478889
Mossel Bay,-34.183056,22.145833
Natal,-29.857778,31.029167
Quelimane,-17.878611,36.888333
Ilha de moçambique,-15.035278,40.732222
Mombaça,-4.054444,39.663333
Malindi,-3.217778,40.116667
Goa,15.333333,74.083333
Calicute,11.497778,75.968611
Ceuta,35.889167,-5.320278
Tanger,35.767222,-5.799722
Arzila,35.465,-6.033889
Alcácer-Quibir,34.9989,-5.9028
Cochin,9.939722,76.26
Goa,15.333333,74.083333
Tidore,0.688611,127.411389
Sohar,24.347222,56.709167
Trincomalee,8.577778,81.289288
Malaca,2.195833,102.240278
São Tomé de Meliapor,13.029167,80.270833
Negapatão,10.763611,79.843056
Diu,20.713889,70.982222
Mascate,23.583889,58.407778
Macau,21.881111,111.947778
Amboíno,-3.695833,128.183333
Socotra,12.502222,53.820556
Bombaim,19.072778,72.8825
Quiloa,-8.981667,39.517222
Porto,41.149444,-8.610833
Olinda,-8.008889,-34.855278
São Jorge dos Ilhéus,-14.793611,-39.039444
Natal - Capitania do Rio Grande,-5.795,-35.209444
Salvador,-12.971111,-38.510833
Porto Seguro,-16.449722,-39.064722
Rio de Janeiro,-22.906389,-43.182222
Vila do Espírito Santo,-20.319444,-40.337778
