routename,distKM,time
Lisboa-Monte Pascoal - BA,7693.29,69
Lisboa-Cananor,18144.33,159
Lisboa-Ilhas Canárias,1466.84,16
Lisboa-Santiago - Cabo Verde,3081.47,29
Lisboa-Baía de Santa Helena,9785.09,87
Lisboa-Cabo da Boa esperança,9703.19,86
Lisboa-Mossel Bay,9997.57,89
Lisboa-Natal,11260.85,100
Lisboa-Quelimane,12617.71,111
Lisboa-Ilha de moçambique,13214.39,117
Lisboa-Mombaça,14520.13,128
Lisboa-Malindi,14623.79,129
Lisboa-Goa,18678.8,164
Lisboa-Calicute,18116.38,159
Lisboa-Ceuta,726.73,9
Lisboa-Tanger,523.51,7
Lisboa-Arzila,556.84,8
Lisboa-Alcácer-Quibir,605.08,8
Lisboa-Cochin,18013.09,158
Lisboa-Goa,18678.8,164
Lisboa-Tidore,21913.7,191
Lisboa-Sohar,18360.54,161
Lisboa-Trincomalee,18167.68,159
Lisboa-Malaca,20218.77,177
Lisboa-São Tomé de Meliapor,18716.35,164
Lisboa-Negapatão,18914.84,166
Lisboa-Diu,18287.34,160
Lisboa-Mascate,18070.64,158
Lisboa-Macau,22638.3,198
Lisboa-Amboíno,21800.89,190
Lisboa-Socotra,16496.08,145
Lisboa-Bombaim,18275.02,160
Lisboa-Quiloa,14514.89,128
Lisboa-Porto,639.42,8
Lisboa-Olinda,5928.54,54
Lisboa-São Jorge dos Ilhéus,6864.12,62
Lisboa-Natal - Capitania do Rio Grande,5769.28,53
Lisboa-Salvador,6749.4,61
Lisboa-Porto Seguro,7745.21,70
Lisboa-Rio de Janeiro,7984.01,72
Lisboa-Vila do Espírito Santo,7444.02,67
Monte Pascoal - BA-Lisboa,7693.29,69
Monte Pascoal - BA-Cananor,14760.18,130
Monte Pascoal - BA-Ilhas Canárias,6394.57,58
Monte Pascoal - BA-Santiago - Cabo Verde,4686.43,43
Monte Pascoal - BA-Baía de Santa Helena,6596.49,60
Monte Pascoal - BA-Cabo da Boa esperança,6514.59,59
Monte Pascoal - BA-Mossel Bay,6808.97,61
Monte Pascoal - BA-Natal,7876.7,71
Monte Pascoal - BA-Quelimane,9233.57,82
Monte Pascoal - BA-Ilha de moçambique,9830.24,87
Monte Pascoal - BA-Mombaça,11135.98,99
Monte Pascoal - BA-Malindi,11239.64,100
Monte Pascoal - BA-Goa,15294.66,134
Monte Pascoal - BA-Calicute,14732.23,130
Monte Pascoal - BA-Ceuta,7727.85,69
Monte Pascoal - BA-Tanger,7524.63,68
Monte Pascoal - BA-Arzila,7557.96,68
Monte Pascoal - BA-Alcácer-Quibir,7606.21,68
Monte Pascoal - BA-Cochin,14628.94,129
Monte Pascoal - BA-Goa,15294.66,134
Monte Pascoal - BA-Tidore,18529.56,162
Monte Pascoal - BA-Sohar,14976.39,132
Monte Pascoal - BA-Trincomalee,14783.53,130
Monte Pascoal - BA-Malaca,16834.62,148
Monte Pascoal - BA-São Tomé de Meliapor,15332.21,135
Monte Pascoal - BA-Negapatão,15530.69,136
Monte Pascoal - BA-Diu,14903.2,131
Monte Pascoal - BA-Mascate,14686.49,129
Monte Pascoal - BA-Macau,19254.15,168
Monte Pascoal - BA-Amboíno,18416.75,161
Monte Pascoal - BA-Socotra,13111.93,116
Monte Pascoal - BA-Bombaim,14890.87,131
Monte Pascoal - BA-Quiloa,11130.74,99
Monte Pascoal - BA-Porto,7924.01,71
Monte Pascoal - BA-Olinda,2418.07,24
Monte Pascoal - BA-São Jorge dos Ilhéus,235.95,5
Monte Pascoal - BA-Natal - Capitania do Rio Grande,2258.81,22
Monte Pascoal - BA-Salvador,444.86,7
Monte Pascoal - BA-Porto Seguro,61.47,3
Monte Pascoal - BA-Rio de Janeiro,978.17,11
Monte Pascoal - BA-Vila do Espírito Santo,391.44,6
Cananor-Lisboa,18144.33,159
Cananor-Monte Pascoal - BA,14760.18,130
Cananor-Ilhas Canárias,16852.54,148
Cananor-Santiago - Cabo Verde,15682.82,138
Cananor-Baía de Santa Helena,8842.69,79
Cananor-Cabo da Boa esperança,8760.79,78
Cananor-Mossel Bay,9055.18,81
Cananor-Natal,7073.58,64
Cananor-Quelimane,6819.04,62
Cananor-Ilha de moçambique,5138.24,47
Cananor-Mombaça,4733.59,44
Cananor-Malindi,4837.25,44
Cananor-Goa,407.48,6
Cananor-Calicute,78.18,4
Cananor-Ceuta,18128.44,159
Cananor-Tanger,17925.22,157
Cananor-Arzila,17958.55,157
Cananor-Alcácer-Quibir,18006.8,158
Cananor-Cochin,234.96,5
Cananor-Goa,407.48,6
Cananor-Tidore,7152.94,64
Cananor-Sohar,2968.33,28
Cananor-Trincomalee,1542.38,16
Cananor-Malaca,3800.16,36
Cananor-São Tomé de Meliapor,2091.06,21
Cananor-Negapatão,504.67,7
Cananor-Diu,1744.24,18
Cananor-Mascate,2678.43,26
Cananor-Macau,6666.04,60
Cananor-Amboíno,7040.13,63
Cananor-Socotra,2790.08,27
Cananor-Bombaim,1346.96,14
Cananor-Quiloa,5246.56,48
Cananor-Porto,18381.97,161
Cananor-Olinda,15054.53,132
Cananor-São Jorge dos Ilhéus,14931.12,131
Cananor-Natal - Capitania do Rio Grande,14895.27,131
Cananor-Salvador,14816.4,130
Cananor-Porto Seguro,14812.1,130
Cananor-Rio de Janeiro,14568.16,128
Cananor-Vila do Espírito Santo,14510.91,128
Ilhas Canárias-Lisboa,1466.84,16
Ilhas Canárias-Monte Pascoal - BA,6394.57,58
Ilhas Canárias-Cananor,16852.54,148
Ilhas Canárias-Santiago - Cabo Verde,1782.75,18
Ilhas Canárias-Baía de Santa Helena,8493.3,76
Ilhas Canárias-Cabo da Boa esperança,8411.4,75
Ilhas Canárias-Mossel Bay,8705.78,78
Ilhas Canárias-Natal,9969.06,89
Ilhas Canárias-Quelimane,11325.92,100
Ilhas Canárias-Ilha de moçambique,11922.6,105
Ilhas Canárias-Mombaça,13228.34,117
Ilhas Canárias-Malindi,13332,118
Ilhas Canárias-Goa,17387.01,152
Ilhas Canárias-Calicute,16824.59,148
Ilhas Canárias-Ceuta,1535.44,16
Ilhas Canárias-Tanger,1332.22,14
Ilhas Canárias-Arzila,1365.55,15
Ilhas Canárias-Alcácer-Quibir,1413.8,15
Ilhas Canárias-Cochin,16721.3,147
Ilhas Canárias-Goa,17387.01,152
Ilhas Canárias-Tidore,20621.91,180
Ilhas Canárias-Sohar,17068.75,150
Ilhas Canárias-Trincomalee,16875.89,148
Ilhas Canárias-Malaca,18926.97,166
Ilhas Canárias-São Tomé de Meliapor,17424.56,153
Ilhas Canárias-Negapatão,17623.05,154
Ilhas Canárias-Diu,16995.55,149
Ilhas Canárias-Mascate,16778.84,147
Ilhas Canárias-Macau,21346.51,186
Ilhas Canárias-Amboíno,20509.1,179
Ilhas Canárias-Socotra,15204.28,134
Ilhas Canárias-Bombaim,16983.23,149
Ilhas Canárias-Quiloa,13223.09,117
Ilhas Canárias-Porto,1697.56,17
Ilhas Canárias-Olinda,4629.81,43
Ilhas Canárias-São Jorge dos Ilhéus,5565.4,51
Ilhas Canárias-Natal - Capitania do Rio Grande,4470.55,41
Ilhas Canárias-Salvador,5450.67,50
Ilhas Canárias-Porto Seguro,6446.49,58
Ilhas Canárias-Rio de Janeiro,6685.29,60
Ilhas Canárias-Vila do Espírito Santo,6145.3,56
Santiago - Cabo Verde-Lisboa,3081.47,29
Santiago - Cabo Verde-Monte Pascoal - BA,4686.43,43
Santiago - Cabo Verde-Cananor,15682.82,138
Santiago - Cabo Verde-Ilhas Canárias,1782.75,18
Santiago - Cabo Verde-Baía de Santa Helena,7323.58,66
Santiago - Cabo Verde-Cabo da Boa esperança,7241.68,65
Santiago - Cabo Verde-Mossel Bay,7536.07,68
Santiago - Cabo Verde-Natal,8799.35,79
Santiago - Cabo Verde-Quelimane,10156.21,90
Santiago - Cabo Verde-Ilha de moçambique,10752.88,95
Santiago - Cabo Verde-Mombaça,12058.62,107
Santiago - Cabo Verde-Malindi,12162.29,107
Santiago - Cabo Verde-Goa,16217.3,142
Santiago - Cabo Verde-Calicute,15654.87,138
Santiago - Cabo Verde-Ceuta,3150.07,30
Santiago - Cabo Verde-Tanger,2946.85,28
Santiago - Cabo Verde-Arzila,2980.18,29
Santiago - Cabo Verde-Alcácer-Quibir,3028.43,29
Santiago - Cabo Verde-Cochin,15551.58,137
Santiago - Cabo Verde-Goa,16217.3,142
Santiago - Cabo Verde-Tidore,19452.2,170
Santiago - Cabo Verde-Sohar,15899.03,140
Santiago - Cabo Verde-Trincomalee,15706.17,138
Santiago - Cabo Verde-Malaca,17757.26,156
Santiago - Cabo Verde-São Tomé de Meliapor,16254.85,143
Santiago - Cabo Verde-Negapatão,16453.33,144
Santiago - Cabo Verde-Diu,15825.84,139
Santiago - Cabo Verde-Mascate,15609.13,137
Santiago - Cabo Verde-Macau,20176.79,176
Santiago - Cabo Verde-Amboíno,19339.39,169
Santiago - Cabo Verde-Socotra,14034.57,124
