route name,olon,olat,dlon,dlat
Lisboa-Monte Pascoal - BA,-9.133333,38.716667,-39.408056,-16.895833,
Lisboa-Cananor,-9.133333,38.716667,75.3575,11.8675,
Lisboa-Ilhas Canárias,-9.133333,38.716667,-15.5,28,
Lisboa-Santiago - Cabo Verde,-9.133333,38.716667,-23.625556,15.087222,
Lisboa-Baía de Santa Helena,-9.133333,38.716667,18.0278,-32.7583,
Lisboa-Cabo da Boa esperança,-9.133333,38.716667,18.478889,-34.350278,
Lisboa-Mossel Bay,-9.133333,38.716667,22.145833,-34.183056,
Lisboa-Natal,-9.133333,38.716667,31.029167,-29.857778,
Lisboa-Quelimane,-9.133333,38.716667,36.888333,-17.878611,
Lisboa-Ilha de moçambique,-9.133333,38.716667,40.732222,-15.035278,
Lisboa-Mombaça,-9.133333,38.716667,39.663333,-4.054444,
Lisboa-Malindi,-9.133333,38.716667,40.116667,-3.217778,
Lisboa-Goa,-9.133333,38.716667,74.083333,15.333333,
Lisboa-Calicute,-9.133333,38.716667,75.968611,11.497778,
Lisboa-Ceuta,-9.133333,38.716667,-5.320278,35.889167,
Lisboa-Tanger,-9.133333,38.716667,-5.799722,35.767222,
Lisboa-Arzila,-9.133333,38.716667,-6.033889,35.465,
Lisboa-Alcácer-Quibir,-9.133333,38.716667,-5.9028,34.9989,
Lisboa-Cochin,-9.133333,38.716667,76.26,9.939722,
Lisboa-Goa,-9.133333,38.716667,74.083333,15.333333,
Lisboa-Tidore,-9.133333,38.716667,127.411389,0.688611,
Lisboa-Sohar,-9.133333,38.716667,56.709167,24.347222,
Lisboa-Trincomalee,-9.133333,38.716667,81.289288,8.577778,
Lisboa-Malaca,-9.133333,38.716667,102.240278,2.195833,
Lisboa-São Tomé de Meliapor,-9.133333,38.716667,80.270833,13.029167,
Lisboa-Negapatão,-9.133333,38.716667,79.843056,10.763611,
Lisboa-Diu,-9.133333,38.716667,70.982222,20.713889,
Lisboa-Mascate,-9.133333,38.716667,58.407778,23.583889,
Lisboa-Macau,-9.133333,38.716667,111.947778,21.881111,
Lisboa-Amboíno,-9.133333,38.716667,128.183333,-3.695833,
Lisboa-Socotra,-9.133333,38.716667,53.820556,12.502222,
Lisboa-Bombaim,-9.133333,38.716667,72.8825,19.072778,
Lisboa-Quiloa,-9.133333,38.716667,39.517222,-8.981667,
Lisboa-Porto,-9.133333,38.716667,-8.610833,41.149444,
Lisboa-Olinda,-9.133333,38.716667,-34.855278,-8.008889,
Lisboa-São Jorge dos Ilhéus,-9.133333,38.716667,-39.039444,-14.793611,
Lisboa-Natal - Capitania do Rio Grande,-9.133333,38.716667,-35.209444,-5.795,
Lisboa-Salvador,-9.133333,38.716667,-38.510833,-12.971111,
Lisboa-Porto Seguro,-9.133333,38.716667,-39.064722,-16.449722,
Lisboa-Rio de Janeiro,-9.133333,38.716667,-43.182222,-22.906389,
Lisboa-Vila do Espírito Santo,-9.133333,38.716667,-40.337778,-20.319444,
Monte Pascoal - BA-Lisboa,-39.408056,-16.895833,-9.133333,38.716667,
Monte Pascoal - BA-Cananor,-39.408056,-16.895833,75.3575,11.8675,
Monte Pascoal - BA-Ilhas Canárias,-39.408056,-16.895833,-15.5,28,
Monte Pascoal - BA-Santiago - Cabo Verde,-39.408056,-16.895833,-23.625556,15.087222,
Monte Pascoal - BA-Baía de Santa Helena,-39.408056,-16.895833,18.0278,-32.7583,
Monte Pascoal - BA-Cabo da Boa esperança,-39.408056,-16.895833,18.478889,-34.350278,
Monte Pascoal - BA-Mossel Bay,-39.408056,-16.895833,22.145833,-34.183056,
Monte Pascoal - BA-Natal,-39.408056,-16.895833,31.029167,-29.857778,
Monte Pascoal - BA-Quelimane,-39.408056,-16.895833,36.888333,-17.878611,
